"Time (s);""Magnetic Field x (µT)"";""Magnetic Field y (µT)"";""Magnetic Field z (µT)"";""Absolute field (µT)""",,,,,
2,475325313E0;-1,339799957E2;-6,179999828E0;-8,304000092E1;1,5.77E+10
2,483320791E0;-1,335000000E2;-6,239999771E0;-8,351999664E1;1,5.76E+10
2,491377303E0;-1,338000031E2;-6,299999714E0;-8,309999847E1;1,5.76E+10
2,499342265E0;-1,336799927E2;-6,599999905E0;-8,363999939E1;1,5.78E+10
2,507337743E0;-1,333799896E2;-6,179999828E0;-8,381999969E1;1,5.77E+10
2,515363739E0;-1,336799927E2;-5,879999638E0;-8,369999695E1;1,5.78E+10
2,523359217E0;-1,333799896E2;-5,579999924E0;-8,393999481E1;1,5.77E+10
2,531415730E0;-1,335599976E2;-5,339999676E0;-8,358000183E1;1,5.76E+10
2,539380691E0;-1,342200012E2;-5,940000057E0;-8,327999878E1;1,5.81E+10
2,547376169E0;-1,345200043E2;-5,639999866E0;-8,315999603E1;1,5.82E+10
2,555402164E0;-1,349400024E2;-5,879999638E0;-8,315999603E1;1,5.86E+10
2,563397643E0;-1,343999939E2;-5,699999809E0;-8,279999542E1;1,5.80E+10
2,571454155E0;-1,336799927E2;-4,920000076E0;-8,363999939E1;1,5.78E+10
2,579419116E0;-1,333799896E2;-5,579999924E0;-8,387999725E1;1,5.77E+10
2,587414595E0;-1,329599915E2;-5,460000038E0;-8,351999664E1;1,5.71E+10
2,595410073E0;-1,330800018E2;-5,460000038E0;-8,405999756E1;1,5.75E+10
2,603436068E0;-1,335000000E2;-6,299999714E0;-8,333999634E1;1,5.75E+10
2,611492581E0;-1,336799927E2;-5,879999638E0;-8,345999908E1;1,5.77E+10
2,619427025E0;-1,342200012E2;-6,480000019E0;-8,393999481E1;1,5.84E+10
2,627453020E0;-1,342799988E2;-6,420000076E0;-8,393999481E1;1,5.85E+10
2,635448499E0;-1,344599915E2;-6,239999771E0;-8,405999756E1;1,5.87E+10
2,643474494E0;-1,345200043E2;-6,480000019E0;-8,381999969E1;1,5.86E+10
2,651531006E0;-1,343999939E2;-6,179999828E0;-8,345999908E1;1,5.83E+10
2,659465451E0;-1,343999939E2;-6,119999886E0;-8,315999603E1;1,5.82E+10
2,667491446E0;-1,346399994E2;-6,059999943E0;-8,322000122E1;1,5.84E+10
2,675486924E0;-1,346999969E2;-6,000000000E0;-8,327999878E1;1,5.85E+10
2,683512920E0;-1,347599945E2;-5,699999809E0;-8,358000183E1;1,5.87E+10
2,691569433E0;-1,350599976E2;-5,759999752E0;-8,393999481E1;1,5.91E+10
2,699503876E0;-1,346999969E2;-5,460000038E0;-8,411999512E1;1,5.89E+10
2,707529872E0;-1,343399963E2;-5,279999733E0;-8,429999542E1;1,5.87E+10
2,715525351E0;-1,345800018E2;-5,460000038E0;-8,375999451E1;1,5.86E+10
2,723520828E0;-1,346399994E2;-5,759999752E0;-8,322000122E1;1,5.84E+10
2,731607858E0;-1,346399994E2;-6,059999943E0;-8,273999786E1;1,5.81E+10
2,739542303E0;-1,350599976E2;-6,420000076E0;-8,243999481E1;1,5.84E+10
2,747537781E0;-1,351199951E2;-6,119999886E0;-8,243999481E1;1,5.84E+10
2,755563776E0;-1,349400024E2;-5,940000057E0;-8,279999542E1;1,5.84E+10
2,763559255E0;-1,346399994E2;-5,699999809E0;-8,309999847E1;1,5.83E+10
2,771615767E0;-1,343999939E2;-5,400000095E0;-8,327999878E1;1,5.82E+10
2,779580728E0;-1,342200012E2;-5,279999733E0;-8,375999451E1;1,5.83E+10
2,787576207E0;-1,340999908E2;-4,980000019E0;-8,340000153E1;1,5.80E+10
2,795571685E0;-1,343999939E2;-5,039999962E0;-8,309999847E1;1,5.81E+10
2,803597680E0;-1,344599915E2;-4,980000019E0;-8,309999847E1;1,5.81E+10
2,811654193E0;-1,343399963E2;-5,639999866E0;-8,291999817E1;1,5.80E+10
2,819619154E0;-1,344599915E2;-6,000000000E0;-8,297999573E1;1,5.81E+10
2,827614632E0;-1,346999969E2;-6,239999771E0;-8,345999908E1;1,5.86E+10
2,835610111E0;-1,347599945E2;-6,599999905E0;-8,340000153E1;1,5.86E+10
2,843636106E0;-1,342799988E2;-6,059999943E0;-8,345999908E1;1,5.82E+10
2,851692618E0;-1,342799988E2;-5,579999924E0;-8,381999969E1;1,5.84E+10
2,859657579E0;-1,338600006E2;-5,039999962E0;-8,393999481E1;1,5.81E+10
2,867653058E0;-1,341600037E2;-4,799999714E0;-8,363999939E1;1,5.82E+10
2,875648536E0;-1,347599945E2;-5,099999905E0;-8,363999939E1;1,5.87E+10
2,883674531E0;-1,345800018E2;-5,159999847E0;-8,375999451E1;1,5.86E+10
2,891761561E0;-1,344599915E2;-5,099999905E0;-8,327999878E1;1,5.82E+10
2,899696006E0;-1,340999908E2;-4,980000019E0;-8,345999908E1;1,5.80E+10
2,907691484E0;-1,337399902E2;-4,739999771E0;-8,358000183E1;1,5.78E+10
2,915686962E0;-1,339199982E2;-4,799999714E0;-8,358000183E1;1,5.79E+10
2,923712958E0;-1,342799988E2;-4,980000019E0;-8,369999695E1;1,5.83E+10
2,931769470E0;-1,346399994E2;-5,099999905E0;-8,411999512E1;1,5.88E+10
2,939703914E0;-1,348799896E2;-5,099999905E0;-8,387999725E1;1,5.89E+10
2,947729910E0;-1,345200043E2;-5,400000095E0;-8,381999969E1;1,5.86E+10
2,955725388E0;-1,346999969E2;-5,579999924E0;-8,393999481E1;1,5.88E+10
2,963751383E0;-1,344599915E2;-5,579999924E0;-8,400000000E1;1,5.86E+10
2,971807896E0;-1,346399994E2;-5,639999866E0;-8,429999542E1;1,5.90E+10
2,979742340E0;-1,349400024E2;-5,519999981E0;-8,411999512E1;1,5.91E+10
2,987768335E0;-1,344599915E2;-5,519999981E0;-8,393999481E1;1,5.86E+10
2,995763814E0;-1,345800018E2;-6,059999943E0;-8,411999512E1;1,5.88E+10
3,003789809E0;-1,340399933E2;-6,359999657E0;-8,327999878E1;1,5.79E+10
3,011846321E0;-1,338600006E2;-6,059999943E0;-8,375999451E1;1,5.80E+10
3,019780766E0;-1,343399963E2;-6,119999886E0;-8,363999939E1;1,5.84E+10
3,027806761E0;-1,343399963E2;-5,460000038E0;-8,297999573E1;1,5.80E+10
3,035802239E0;-1,348199921E2;-5,699999809E0;-8,381999969E1;1,5.89E+10
3,043828235E0;-1,348199921E2;-5,819999695E0;-8,322000122E1;1,5.85E+10
3,051884747E0;-1,345800018E2;-5,759999752E0;-8,340000153E1;1,5.84E+10
3,059849709E0;-1,345200043E2;-5,639999866E0;-8,322000122E1;1,5.83E+10
3,067845187E0;-1,342799988E2;-5,279999733E0;-8,286000061E1;1,5.79E+10
3,075840665E0;-1,340999908E2;-5,099999905E0;-8,322000122E1;1,5.79E+10
3,083866661E0;-1,340399933E2;-5,219999790E0;-8,333999634E1;1,5.79E+10
3,091923173E0;-1,336799927E2;-5,039999962E0;-8,351999664E1;1,5.77E+10
3,099857617E0;-1,336199951E2;-5,039999962E0;-8,340000153E1;1,5.76E+10
3,107883613E0;-1,339199982E2;-5,099999905E0;-8,322000122E1;1,5.78E+10
3,115879091E0;-1,338000031E2;-4,980000019E0;-8,304000092E1;1,5.76E+10
3,123874570E0;-1,336799927E2;-5,579999924E0;-8,322000122E1;1,5.76E+10
3,131961599E0;-1,340999908E2;-5,639999866E0;-8,309999847E1;1,5.79E+10
3,139896043E0;-1,340999908E2;-6,000000000E0;-8,333999634E1;1,5.80E+10
3,147922038E0;-1,345200043E2;-6,179999828E0;-8,345999908E1;1,5.84E+10
3,155917517E0;-1,346999969E2;-6,119999886E0;-8,340000153E1;1,5.85E+10
3,163912995E0;-1,347599945E2;-5,879999638E0;-8,381999969E1;1,5.88E+10
3,172000024E0;-1,344599915E2;-5,639999866E0;-8,345999908E1;1,5.84E+10
3,179934469E0;-1,338600006E2;-5,400000095E0;-8,340000153E1;1,5.78E+10
3,187929947E0;-1,343999939E2;-5,279999733E0;-8,327999878E1;1,5.82E+10
3,195955942E0;-1,340399933E2;-5,460000038E0;-8,322000122E1;1,5.79E+10
3,203951421E0;-1,345200043E2;-5,519999981E0;-8,340000153E1;1,5.84E+10
3,212007933E0;-1,353000031E2;-5,460000038E0;-8,315999603E1;1,5.89E+10
3,219972894E0;-1,353600006E2;-5,699999809E0;-8,309999847E1;1,5.89E+10
3,227968373E0;-1,354199982E2;-5,940000057E0;-8,279999542E1;1,5.88E+10
3,235963851E0;-1,358399963E2;-6,239999771E0;-8,243999481E1;1,5.90E+10
3,243989846E0;-1,353000031E2;-6,239999771E0;-8,286000061E1;1,5.88E+10
3,252046359E0;-1,346999969E2;-6,359999657E0;-8,333999634E1;1,5.85E+10
3,260011321E0;-1,344599915E2;-6,359999657E0;-8,340000153E1;1,5.84E+10
3,268006798E0;-1,342200012E2;-6,239999771E0;-8,363999939E1;1,5.83E+10
3,276002276E0;-1,343399963E2;-6,779999733E0;-8,327999878E1;1,5.82E+10
3,284028273E0;-1,347599945E2;-6,899999619E0;-8,363999939E1;1,5.88E+10
3,292084784E0;-1,344599915E2;-6,599999905E0;-8,351999664E1;1,5.84E+10
3,300019228E0;-1,342799988E2;-6,599999905E0;-8,327999878E1;1,5.81E+10
3,308045225E0;-1,342200012E2;-6,239999771E0;-8,351999664E1;1,5.82E+10
3,316040703E0;-1,343399963E2;-5,879999638E0;-8,273999786E1;1,5.79E+10
3,324066698E0;-1,347599945E2;-5,940000057E0;-8,322000122E1;1,5.85E+10
3,332123211E0;-1,349400024E2;-5,759999752E0;-8,327999878E1;1,5.87E+10
3,340057655E0;-1,349400024E2;-5,519999981E0;-8,315999603E1;1,5.86E+10
3,348083650E0;-1,345800018E2;-5,159999847E0;-8,315999603E1;1,5.83E+10
3,356079128E0;-1,350000000E2;-5,400000095E0;-8,261999512E1;1,5.84E+10
3,364105124E0;-1,346399994E2;-5,219999790E0;-8,291999817E1;1,5.82E+10
3,372161636E0;-1,345200043E2;-5,339999676E0;-8,315999603E1;1,5.82E+10
3,380096080E0;-1,346999969E2;-5,699999809E0;-8,309999847E1;1,5.84E+10
3,388122076E0;-1,339199982E2;-5,519999981E0;-8,363999939E1;1,5.80E+10
3,396117554E0;-1,336799927E2;-5,819999695E0;-8,363999939E1;1,5.78E+10
3,404113032E0;-1,337399902E2;-5,819999695E0;-8,340000153E1;1,5.77E+10
3,412200062E0;-1,334400024E2;-5,639999866E0;-8,387999725E1;1,5.77E+10
3,420134506E0;-1,336199951E2;-5,940000057E0;-8,369999695E1;1,5.78E+10
3,428129984E0;-1,339799957E2;-5,699999809E0;-8,393999481E1;1,5.82E+10
3,436155979E0;-1,340999908E2;-5,940000057E0;-8,400000000E1;1,5.83E+10
3,444151458E0;-1,342799988E2;-6,119999886E0;-8,369999695E1;1,5.83E+10
3,452238488E0;-1,343999939E2;-6,059999943E0;-8,345999908E1;1,5.83E+10
3,460172931E0;-1,344599915E2;-6,299999714E0;-8,363999939E1;1,5.85E+10
3,468168410E0;-1,343399963E2;-5,879999638E0;-8,369999695E1;1,5.84E+10
3,476194406E0;-1,347599945E2;-5,879999638E0;-8,358000183E1;1,5.87E+10
3,484189883E0;-1,348799896E2;-5,759999752E0;-8,393999481E1;1,5.90E+10
3,492246396E0;-1,353000031E2;-5,519999981E0;-8,369999695E1;1,5.92E+10
3,500211358E0;-1,353600006E2;-5,759999752E0;-8,351999664E1;1,5.92E+10
3,508206835E0;-1,346999969E2;-5,460000038E0;-8,345999908E1;1,5.86E+10
3,516202314E0;-1,345800018E2;-5,519999981E0;-8,340000153E1;1,5.84E+10
3,524228310E0;-1,340999908E2;-5,819999695E0;-8,322000122E1;1,5.79E+10
3,532284823E0;-1,341600037E2;-5,400000095E0;-8,333999634E1;1,5.80E+10
3,540219266E0;-1,345200043E2;-5,699999809E0;-8,351999664E1;1,5.84E+10
3,548245262E0;-1,346399994E2;-5,940000057E0;-8,279999542E1;1,5.82E+10
3,556240740E0;-1,341600037E2;-5,639999866E0;-8,279999542E1;1,5.78E+10
3,564236218E0;-1,337399902E2;-5,940000057E0;-8,309999847E1;1,5.76E+10
3,572323248E0;-1,335000000E2;-5,819999695E0;-8,286000061E1;1,5.72E+10
3,580257692E0;-1,331999969E2;-5,579999924E0;-8,363999939E1;1,5.74E+10
3,588253170E0;-1,339199982E2;-5,759999752E0;-8,327999878E1;1,5.78E+10
3,596279166E0;-1,340999908E2;-6,239999771E0;-8,291999817E1;1,5.78E+10
3,604274644E0;-1,345800018E2;-6,119999886E0;-8,345999908E1;1,5.85E+10
3,612331157E0;-1,343399963E2;-5,759999752E0;-8,327999878E1;1,5.82E+10
3,620296118E0;-1,343399963E2;-5,339999676E0;-8,351999664E1;1,5.83E+10
3,628291596E0;-1,346399994E2;-4,980000019E0;-8,327999878E1;1,5.84E+10
3,636287075E0;-1,343999939E2;-5,159999847E0;-8,286000061E1;1,5.80E+10
3,644313070E0;-1,348799896E2;-5,400000095E0;-8,291999817E1;1,5.84E+10
3,652369582E0;-1,346999969E2;-5,699999809E0;-8,322000122E1;1,5.84E+10
3,660304027E0;-1,344599915E2;-5,639999866E0;-8,309999847E1;1,5.82E+10
3,668330022E0;-1,341600037E2;-5,639999866E0;-8,333999634E1;1,5.80E+10
3,676325500E0;-1,342200012E2;-6,000000000E0;-8,304000092E1;1,5.79E+10
3,684320979E0;-1,341600037E2;-5,940000057E0;-8,322000122E1;1,5.80E+10
3,692408008E0;-1,345800018E2;-6,059999943E0;-8,315999603E1;1,5.83E+10
3,700342452E0;-1,350599976E2;-6,000000000E0;-8,297999573E1;1,5.86E+10
3,708337931E0;-1,347599945E2;-5,639999866E0;-8,309999847E1;1,5.84E+10
3,716363926E0;-1,351199951E2;-5,819999695E0;-8,297999573E1;1,5.87E+10
3,724359404E0;-1,351799927E2;-5,759999752E0;-8,340000153E1;1,5.89E+10
3,732415917E0;-1,352399902E2;-5,639999866E0;-8,363999939E1;1,5.91E+10
3,740380878E0;-1,355399933E2;-5,879999638E0;-8,315999603E1;1,5.91E+10
3,748376356E0;-1,354199982E2;-6,420000076E0;-8,297999573E1;1,5.90E+10
3,756371835E0;-1,352399902E2;-6,420000076E0;-8,279999542E1;1,5.87E+10
3,764397830E0;-1,348799896E2;-6,539999962E0;-8,268000031E1;1,5.83E+10
3,772454342E0;-1,346399994E2;-6,599999905E0;-8,345999908E1;1,5.85E+10
3,780388787E0;-1,343399963E2;-6,119999886E0;-8,358000183E1;1,5.83E+10
3,788414782E0;-1,343999939E2;-5,879999638E0;-8,411999512E1;1,5.87E+10
3,796410260E0;-1,345200043E2;-5,819999695E0;-8,411999512E1;1,5.88E+10
3,804405739E0;-1,347599945E2;-5,819999695E0;-8,423999786E1;1,5.90E+10
3,812492768E0;-1,345800018E2;-5,879999638E0;-8,405999756E1;1,5.88E+10
3,820427212E0;-1,349400024E2;-5,819999695E0;-8,405999756E1;1,5.91E+10
3,828422691E0;-1,347599945E2;-5,819999695E0;-8,454000092E1;1,5.92E+10
3,836448686E0;-1,342200012E2;-5,639999866E0;-8,400000000E1;1,5.84E+10
3,844444164E0;-1,343999939E2;-5,400000095E0;-8,400000000E1;1,5.86E+10
3,852500677E0;-1,343999939E2;-5,279999733E0;-8,351999664E1;1,5.83E+10
3,860465638E0;-1,345800018E2;-5,460000038E0;-8,268000031E1;1,5.80E+10
3,868461116E0;-1,347599945E2;-5,519999981E0;-8,273999786E1;1,5.82E+10
3,876456595E0;-1,347599945E2;-5,460000038E0;-8,279999542E1;1,5.83E+10
3,884452073E0;-1,343999939E2;-5,879999638E0;-8,309999847E1;1,5.81E+10
3,892539102E0;-1,345800018E2;-5,879999638E0;-8,340000153E1;1,5.84E+10
3,900473547E0;-1,347599945E2;-5,759999752E0;-8,351999664E1;1,5.86E+10
3,908499543E0;-1,345800018E2;-5,519999981E0;-8,363999939E1;1,5.85E+10
3,916495020E0;-1,345200043E2;-5,460000038E0;-8,322000122E1;1,5.83E+10
3,924490499E0;-1,339799957E2;-5,219999790E0;-8,322000122E1;1,5.78E+10
3,932577529E0;-1,342200012E2;-5,400000095E0;-8,327999878E1;1,5.80E+10
3,940511972E0;-1,342799988E2;-5,639999866E0;-8,286000061E1;1,5.79E+10
3,948507451E0;-1,343999939E2;-5,879999638E0;-8,286000061E1;1,5.80E+10
3,956533447E0;-1,346999969E2;-5,940000057E0;-8,273999786E1;1,5.82E+10
3,964528924E0;-1,346399994E2;-5,699999809E0;-8,268000031E1;1,5.81E+10
3,972585437E0;-1,346399994E2;-5,940000057E0;-8,250000000E1;1,5.80E+10
3,980519881E0;-1,346399994E2;-5,819999695E0;-8,225999451E1;1,5.79E+10
3,988545877E0;-1,344599915E2;-5,699999809E0;-8,273999786E1;1,5.80E+10
3,996541355E0;-1,346999969E2;-5,819999695E0;-8,291999817E1;1,5.83E+10
4,004536833E0;-1,346999969E2;-5,819999695E0;-8,369999695E1;1,5.87E+10
4,012623863E0;-1,348199921E2;-5,639999866E0;-8,429999542E1;1,5.91E+10
4,020558307E0;-1,346399994E2;-5,940000057E0;-8,381999969E1;1,5.87E+10
4,028553785E0;-1,343399963E2;-6,059999943E0;-8,381999969E1;1,5.85E+10
4,036579781E0;-1,342200012E2;-5,699999809E0;-8,381999969E1;1,5.83E+10
4,044575259E0;-1,342799988E2;-5,940000057E0;-8,363999939E1;1,5.83E+10
4,052631771E0;-1,345200043E2;-5,879999638E0;-8,393999481E1;1,5.87E+10
4,060596733E0;-1,346399994E2;-5,940000057E0;-8,381999969E1;1,5.87E+10
4,068592212E0;-1,346999969E2;-6,059999943E0;-8,322000122E1;1,5.84E+10
4,076587689E0;-1,346399994E2;-5,879999638E0;-8,304000092E1;1,5.83E+10
4,084613685E0;-1,346399994E2;-5,819999695E0;-8,304000092E1;1,5.83E+10
4,092670198E0;-1,345200043E2;-5,879999638E0;-8,333999634E1;1,5.84E+10
4,100604641E0;-1,342200012E2;-5,759999752E0;-8,375999451E1;1,5.83E+10
4,108630637E0;-1,340999908E2;-5,759999752E0;-8,423999786E1;1,5.85E+10
4,116626116E0;-1,342799988E2;-6,059999943E0;-8,436000061E1;1,5.87E+10
4,124621593E0;-1,344599915E2;-5,519999981E0;-8,418000031E1;1,5.87E+10
4,132708623E0;-1,343399963E2;-5,819999695E0;-8,436000061E1;1,5.87E+10
4,140643067E0;-1,345200043E2;-5,699999809E0;-8,405999756E1;1,5.87E+10
4,148638546E0;-1,343399963E2;-5,460000038E0;-8,423999786E1;1,5.87E+10
4,156664541E0;-1,340999908E2;-5,699999809E0;-8,405999756E1;1,5.84E+10
4,164660019E0;-1,344599915E2;-5,279999733E0;-8,369999695E1;1,5.85E+10
4,172747049E0;-1,341600037E2;-5,279999733E0;-8,393999481E1;1,5.83E+10
4,180681493E0;-1,339199982E2;-5,099999905E0;-8,345999908E1;1,5.79E+10
4,188676971E0;-1,337399902E2;-5,039999962E0;-8,327999878E1;1,5.76E+10
4,196702967E0;-1,335000000E2;-5,099999905E0;-8,351999664E1;1,5.76E+10
4,204698445E0;-1,335000000E2;-5,279999733E0;-8,340000153E1;1,5.75E+10
4,212785474E0;-1,336199951E2;-5,279999733E0;-8,363999939E1;1,5.77E+10
4,220719918E0;-1,336199951E2;-5,339999676E0;-8,393999481E1;1,5.79E+10
4,228715397E0;-1,339199982E2;-5,639999866E0;-8,358000183E1;1,5.80E+10
4,236741392E0;-1,340999908E2;-5,579999924E0;-8,333999634E1;1,5.80E+10
4,244736870E0;-1,342799988E2;-5,940000057E0;-8,340000153E1;1,5.82E+10
4,252793383E0;-1,340399933E2;-5,639999866E0;-8,322000122E1;1,5.79E+10
4,260758344E0;-1,340999908E2;-5,639999866E0;-8,358000183E1;1,5.81E+10
4,268753822E0;-1,340399933E2;-5,639999866E0;-8,375999451E1;1,5.82E+10
4,276779819E0;-1,341600037E2;-5,879999638E0;-8,363999939E1;1,5.82E+10
4,284775297E0;-1,347599945E2;-6,239999771E0;-8,387999725E1;1,5.89E+10
4,292831809E0;-1,346399994E2;-6,480000019E0;-8,411999512E1;1,5.89E+10
4,300796770E0;-1,346399994E2;-6,420000076E0;-8,387999725E1;1,5.88E+10
4,308792249E0;-1,345800018E2;-6,059999943E0;-8,393999481E1;1,5.87E+10
4,316818244E0;-1,342799988E2;-6,179999828E0;-8,405999756E1;1,5.85E+10
4,324813722E0;-1,338600006E2;-5,940000057E0;-8,340000153E1;1,5.78E+10
4,332870235E0;-1,336799927E2;-6,239999771E0;-8,358000183E1;1,5.78E+10
4,340835196E0;-1,334400024E2;-6,420000076E0;-8,333999634E1;1,5.75E+10
4,348830674E0;-1,333799896E2;-6,420000076E0;-8,304000092E1;1,5.72E+10
4,356826153E0;-1,335599976E2;-6,719999790E0;-8,327999878E1;1,5.75E+10
4,364852148E0;-1,338000031E2;-6,480000019E0;-8,340000153E1;1,5.78E+10
4,372908661E0;-1,338600006E2;-5,759999752E0;-8,369999695E1;1,5.80E+10
4,380843105E0;-1,341600037E2;-5,819999695E0;-8,315999603E1;1,5.80E+10
4,388869100E0;-1,343999939E2;-5,639999866E0;-8,351999664E1;1,5.83E+10
4,396864578E0;-1,343999939E2;-5,400000095E0;-8,369999695E1;1,5.84E+10
4,404890573E0;-1,344599915E2;-6,119999886E0;-8,363999939E1;1,5.85E+10
4,412947086E0;-1,343399963E2;-5,879999638E0;-8,423999786E1;1,5.87E+10
4,420881530E0;-1,346399994E2;-5,879999638E0;-8,381999969E1;1,5.87E+10
4,428877009E0;-1,346999969E2;-6,119999886E0;-8,358000183E1;1,5.86E+10
4,436903004E0;-1,343399963E2;-5,759999752E0;-8,363999939E1;1,5.84E+10
4,444898482E0;-1,343999939E2;-5,639999866E0;-8,381999969E1;1,5.85E+10
4,452985512E0;-1,341600037E2;-5,879999638E0;-8,358000183E1;1,5.82E+10
4,460919956E0;-1,336199951E2;-5,819999695E0;-8,381999969E1;1,5.78E+10
4,468915434E0;-1,339799957E2;-5,879999638E0;-8,387999725E1;1,5.82E+10
4,476941429E0;-1,340399933E2;-5,819999695E0;-8,340000153E1;1,5.80E+10
4,484936908E0;-1,340399933E2;-5,819999695E0;-8,358000183E1;1,5.81E+10
4,492993421E0;-1,342799988E2;-6,000000000E0;-8,345999908E1;1,5.82E+10
4,500958382E0;-1,342799988E2;-6,239999771E0;-8,327999878E1;1,5.81E+10
4,508953860E0;-1,341600037E2;-6,179999828E0;-8,351999664E1;1,5.82E+10
4,516949338E0;-1,341600037E2;-5,879999638E0;-8,340000153E1;1,5.81E+10
4,524975334E0;-1,346999969E2;-5,879999638E0;-8,340000153E1;1,5.85E+10
4,533031846E0;-1,346999969E2;-5,699999809E0;-8,340000153E1;1,5.85E+10
4,540966290E0;-1,345800018E2;-5,759999752E0;-8,309999847E1;1,5.83E+10
4,548992286E0;-1,344599915E2;-5,759999752E0;-8,309999847E1;1,5.82E+10
4,556987764E0;-1,338600006E2;-5,460000038E0;-8,322000122E1;1,5.77E+10
4,564983242E0;-1,339199982E2;-5,639999866E0;-8,322000122E1;1,5.78E+10
4,573070273E0;-1,343399963E2;-6,000000000E0;-8,375999451E1;1,5.84E+10
4,581004717E0;-1,343999939E2;-6,119999886E0;-8,375999451E1;1,5.85E+10
4,589030712E0;-1,344599915E2;-6,119999886E0;-8,333999634E1;1,5.83E+10
4,597026190E0;-1,344599915E2;-6,239999771E0;-8,309999847E1;1,5.82E+10
4,605021669E0;-1,345800018E2;-6,119999886E0;-8,322000122E1;1,5.84E+10
4,613108698E0;-1,343999939E2;-5,940000057E0;-8,322000122E1;1,5.82E+10
4,621043142E0;-1,344599915E2;-5,879999638E0;-8,369999695E1;1,5.85E+10
4,629038621E0;-1,344599915E2;-5,579999924E0;-8,393999481E1;1,5.86E+10
4,637064616E0;-1,340399933E2;-5,159999847E0;-8,375999451E1;1,5.81E+10
4,645060094E0;-1,341600037E2;-5,339999676E0;-8,369999695E1;1,5.82E+10
4,653147124E0;-1,344599915E2;-5,279999733E0;-8,333999634E1;1,5.83E+10
4,661081568E0;-1,340999908E2;-5,339999676E0;-8,309999847E1;1,5.79E+10
4,669077046E0;-1,342799988E2;-5,460000038E0;-8,315999603E1;1,5.80E+10
4,677103041E0;-1,343399963E2;-5,339999676E0;-8,340000153E1;1,5.82E+10
4,685098520E0;-1,340399933E2;-5,400000095E0;-8,351999664E1;1,5.80E+10
4,693155032E0;-1,341600037E2;-5,460000038E0;-8,369999695E1;1,5.82E+10
4,701119993E0;-1,342799988E2;-5,879999638E0;-8,351999664E1;1,5.82E+10
4,709115472E0;-1,343399963E2;-5,940000057E0;-8,358000183E1;1,5.83E+10
4,717110950E0;-1,340399933E2;-6,059999943E0;-8,333999634E1;1,5.80E+10
4,725136945E0;-1,340999908E2;-5,819999695E0;-8,351999664E1;1,5.81E+10
4,733193458E0;-1,339199982E2;-5,819999695E0;-8,369999695E1;1,5.80E+10
4,741127902E0;-1,339799957E2;-5,699999809E0;-8,345999908E1;1,5.80E+10
4,749153897E0;-1,342200012E2;-5,460000038E0;-8,322000122E1;1,5.80E+10
4,757149376E0;-1,348799896E2;-5,699999809E0;-8,322000122E1;1,5.86E+10
4,765144854E0;-1,349400024E2;-5,460000038E0;-8,297999573E1;1,5.85E+10
4,773231884E0;-1,354799957E2;-5,759999752E0;-8,304000092E1;1,5.90E+10
4,781166328E0;-1,360200043E2;-6,119999886E0;-8,333999634E1;1,5.96E+10
4,789161806E0;-1,354199982E2;-6,059999943E0;-8,315999603E1;1,5.90E+10
4,797187802E0;-1,353000031E2;-6,119999886E0;-8,351999664E1;1,5.91E+10
4,805183280E0;-1,347599945E2;-6,179999828E0;-8,358000183E1;1,5.87E+10
4,813239792E0;-1,344599915E2;-6,359999657E0;-8,387999725E1;1,5.86E+10
4,821204754E0;-1,345800018E2;-6,539999962E0;-8,393999481E1;1,5.87E+10
4,829200232E0;-1,346399994E2;-6,659999847E0;-8,363999939E1;1,5.86E+10
4,837195710E0;-1,346999969E2;-6,359999657E0;-8,358000183E1;1,5.87E+10
4,845221706E0;-1,344599915E2;-6,000000000E0;-8,322000122E1;1,5.82E+10
4,853278219E0;-1,340999908E2;-5,699999809E0;-8,340000153E1;1,5.80E+10
4,861243180E0;-1,340399933E2;-5,339999676E0;-8,345999908E1;1,5.80E+10
4,869238658E0;-1,336799927E2;-5,339999676E0;-8,322000122E1;1,5.76E+10
4,877234137E0;-1,338600006E2;-5,639999866E0;-8,315999603E1;1,5.77E+10
4,885260132E0;-1,343399963E2;-5,940000057E0;-8,333999634E1;1,5.82E+10
4,893316644E0;-1,346999969E2;-6,179999828E0;-8,309999847E1;1,5.84E+10
4,901251089E0;-1,348199921E2;-6,179999828E0;-8,309999847E1;1,5.85E+10
4,909277084E0;-1,347599945E2;-5,940000057E0;-8,363999939E1;1,5.87E+10
4,917272562E0;-1,346999969E2;-5,879999638E0;-8,304000092E1;1,5.83E+10
4,925268041E0;-1,340399933E2;-5,819999695E0;-8,340000153E1;1,5.80E+10
4,933355070E0;-1,338000031E2;-5,759999752E0;-8,358000183E1;1,5.79E+10
4,941289514E0;-1,337399902E2;-5,759999752E0;-8,340000153E1;1,5.77E+10
4,949284993E0;-1,336199951E2;-5,759999752E0;-8,340000153E1;1,5.76E+10
4,957310988E0;-1,339799957E2;-6,000000000E0;-8,309999847E1;1,5.78E+10
4,965306466E0;-1,345200043E2;-6,359999657E0;-8,315999603E1;1,5.83E+10
4,973362979E0;-1,345200043E2;-6,420000076E0;-8,304000092E1;1,5.82E+10
4,981297423E0;-1,340399933E2;-6,299999714E0;-8,327999878E1;1,5.79E+10
4,989323418E0;-1,339199982E2;-6,239999771E0;-8,315999603E1;1,5.78E+10
4,997318897E0;-1,336799927E2;-5,940000057E0;-8,309999847E1;1,5.75E+10
