"Time (s);""Magnetic Field x (µT)"";""Magnetic Field y (µT)"";""Magnetic Field z (µT)"";""Absolute field (µT)""",,,,,
5,697770040E-1;-1,346399994E2;-5,879999638E0;-8,393999481E1;1,5.88E+10
5,777114480E-1;-1,344599915E2;-6,059999943E0;-8,381999969E1;1,5.86E+10
5,857069260E-1;-1,339199982E2;-5,759999752E0;-8,345999908E1;1,5.79E+10
5,937329220E-1;-1,339199982E2;-5,699999809E0;-8,333999634E1;1,5.78E+10
6,017284000E-1;-1,338600006E2;-5,639999866E0;-8,309999847E1;1,5.77E+10
6,097849130E-1;-1,339799957E2;-5,519999981E0;-8,322000122E1;1,5.78E+10
6,177498740E-1;-1,343399963E2;-5,460000038E0;-8,345999908E1;1,5.82E+10
6,257453520E-1;-1,343399963E2;-5,699999809E0;-8,345999908E1;1,5.83E+10
6,337408310E-1;-1,340399933E2;-5,699999809E0;-8,345999908E1;1,5.80E+10
6,417668260E-1;-1,340399933E2;-5,759999752E0;-8,315999603E1;1,5.78E+10
6,498233380E-1;-1,337399902E2;-5,879999638E0;-8,297999573E1;1,5.75E+10
6,577577830E-1;-1,336799927E2;-5,819999695E0;-8,297999573E1;1,5.74E+10
6,657837780E-1;-1,338000031E2;-5,639999866E0;-8,291999817E1;1,5.75E+10
6,737792560E-1;-1,338600006E2;-5,940000057E0;-8,291999817E1;1,5.76E+10
6,817747350E-1;-1,335599976E2;-5,819999695E0;-8,315999603E1;1,5.74E+10
6,898617640E-1;-1,336799927E2;-6,119999886E0;-8,340000153E1;1,5.77E+10
6,977962080E-1;-1,338600006E2;-6,359999657E0;-8,322000122E1;1,5.77E+10
7,057916870E-1;-1,337399902E2;-5,940000057E0;-8,363999939E1;1,5.79E+10
7,138176820E-1;-1,337399902E2;-6,000000000E0;-8,351999664E1;1,5.78E+10
7,218131600E-1;-1,339799957E2;-6,059999943E0;-8,351999664E1;1,5.80E+10
7,298696730E-1;-1,334400024E2;-6,179999828E0;-8,363999939E1;1,5.76E+10
7,378346340E-1;-1,334400024E2;-6,179999828E0;-8,322000122E1;1,5.74E+10
7,458301120E-1;-1,340399933E2;-6,420000076E0;-8,327999878E1;1,5.79E+10
7,538255910E-1;-1,339199982E2;-5,879999638E0;-8,327999878E1;1,5.78E+10
7,618515860E-1;-1,345800018E2;-5,940000057E0;-8,279999542E1;1,5.81E+10
7,699080980E-1;-1,343999939E2;-6,059999943E0;-8,322000122E1;1,5.82E+10
7,778425430E-1;-1,338600006E2;-5,879999638E0;-8,322000122E1;1,5.77E+10
7,858685380E-1;-1,339199982E2;-6,420000076E0;-8,279999542E1;1,5.76E+10
7,938640160E-1;-1,335599976E2;-6,480000019E0;-8,340000153E1;1,5.76E+10
8,018900120E-1;-1,337399902E2;-6,779999733E0;-8,322000122E1;1,5.77E+10
8,099465240E-1;-1,336199951E2;-6,779999733E0;-8,322000122E1;1,5.76E+10
8,178809680E-1;-1,332599945E2;-6,480000019E0;-8,351999664E1;1,5.74E+10
8,259069640E-1;-1,333799896E2;-6,359999657E0;-8,309999847E1;1,5.73E+10
8,339024420E-1;-1,330800018E2;-6,000000000E0;-8,268000031E1;1,5.68E+10
8,418979200E-1;-1,335000000E2;-6,059999943E0;-8,297999573E1;1,5.73E+10
8,499849500E-1;-1,335000000E2;-6,239999771E0;-8,279999542E1;1,5.72E+10
8,579193940E-1;-1,331399994E2;-5,940000057E0;-8,322000122E1;1,5.71E+10
8,659148720E-1;-1,336799927E2;-6,179999828E0;-8,375999451E1;1,5.79E+10
8,739408680E-1;-1,334400024E2;-6,000000000E0;-8,327999878E1;1,5.74E+10
8,819363470E-1;-1,336199951E2;-6,059999943E0;-8,369999695E1;1,5.78E+10
8,900233760E-1;-1,336799927E2;-6,239999771E0;-8,358000183E1;1,5.78E+10
